,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
46,,,Adware.MultiAds!550A,,,,,AndroidOS/AdrAds.A,,,,,,,,,,,,,Android/AdWo,,,,AndroidOS/AdrAds.A,,,Android.Adware.Adwo.A (B),,Android Adwo,Android.Adware.Adwo.A,,,,Android.Adware.Adwo.A,AndroidOS.AdWare.AdWo,,Android.Adware.Adwo.A,,,,Android.Adware.Adwo.A,,Adware/ANDR.Adwo.A.Gen,a variant of Android/Adware.AdsWo.B,,,,,,Adware/Umeng.W,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.Youmi.Startapp (v),,,,,,,,,,,,,,,,a variant of Android/AdDisplay.Startapp.B,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,Android.Adware.MillennialMediaAds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trojan.Android.Agent.cwzgot,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,Trojan/AndroidOS.eij,,,,,,,,Android Airpush,,,,,,,,,,,,,,Adware/ANDR.Airpush.M.Gen,a variant of Android/AdDisplay.AirPush.J,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,ADWARE,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.Youmi.Startapp (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,Android.Adware.RenrenAds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.RevMob.a (v),,,,,,,,,,,,,,,Adware/ANDR.RevMob.A.Gen,probably a variant of Android/AdDisplay.RevMob.A,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen:Trojan.Heur.Lq0@uKsNQq (B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.Youmi.Startapp (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,AndroidOS/Airpush.C,,,,,,,,,Adware.Airpush.21.origin,,,,Android/Generic,,,,AndroidOS/AirPush.A.gen!Eldorado,,,Win32.Relnek.A (B),Adware.AndroidOS.AirPush.a (v),Android Airpush,,,,,,,,Adware:Android/AirPush,,,,,,Adware/ANDR.Airpush.J.Gen,a variant of Android/Adware.AirPush.J,,,,,,Adware/AirPush!Android,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android.Adware.GingerMaster.R (B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.RevMob.a (v),,,,,,,,,,,,,,,Adware/ANDR.RevMob.A.Gen,probably a variant of Android/AdDisplay.RevMob.A,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,AndroidOS/Frupi.G,Android-Spyware/Dowgin,,,,,,,,,,,,Android/Deng.BNN,,,,,,,Android.Adware.Dowgin.I (B),,Android Dowgin,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,Adware/ANDR.Dowgin.M.Gen,a variant of Android/AdDisplay.Dowgin.U,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,Android/Generic,,,,,,,,,Android Dowgin,,,,,,,,,,,,,,SPR/ANDR.Igexin.A.Gen,a variant of Android/Igexin.B,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,Android.Adware.Adware/Umeng.W,AndroidOS/Denofow.B,,,,,,,,,,,,,Android/Generic,,,,AndroidOS/Denofow.B,,,Android.Adware.Dowgin.U (B),,Android Dowgin,Android.Adware.Dowgin.U,,,not-a-virus:HEUR:AdWare.AndroidOS.Dowgin.b,Android.Adware.Dowgin.U,,,Android.Adware.Dowgin.U,,,,Android.Adware.Dowgin.U,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,ADWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,Adware.Kuguo.1.origin,,,,Android/AirPush,,,TROJ_GEN.RCBH1BG,,,,,Adware.AndroidOS.AirPush.a (v),Andr/Spy-AAH,,,,,,AndroidOS.AdWare.AirPush,UnclassifiedMalware,Adware:Android/Gappusin,,,,,,,a variant of Android/Adware.Waps.D,,,,,,Adware/Waps.D,,,,,,,,,,,,,,,
64,,,,,,,,,,ADWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,ADWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware/ANDR.SKplanet.A.Gen,a variant of Android/AdDisplay.SKplanet.A,,,,,,,,,,,,,,,,,,,,,
